Unique ID,Exempt Code,Address,Owner Or Facility,,Volume And Page,Acreage,Land Assessment,Building Assessment,Total Assessment,OPMAssessment
277 0114 01600,PABX,00236 WASHINGTON AV,BETA 14 LLC,,8404/323,0.11,46130,0,46130,46130
280 0250 00604,PABX,00240 YORK ST,YALE UNIVERSITY,,0/0,0.89,827680,100978150,101805830,101805830
245 0363 00300,PABX,00243 PROSPECT ST,YALE UNIVERSITY,,0/0,4.22,1662500,120763790,122426290,122426290
243 0311 00300,PABX,00246 CHURCH ST,YALE UNIVERSITY,,3599/41,0.2,576870,2103430,2680300,2680300
277 0114 01500,PABX,00246 WASHINGTON AV,ALPHA 9 LLC,,8404/291,0.08,44170,0,44170,44170
280 0271 01700,PABX,00248 PARK ST,YALE UNIVERSITY,,6145/276,0.46,378910,2915990,3294900,3294900
243 0311 00201,PABX,00250 CHURCH ST,YALE UNIVERSITY,,0/0,0.31,421540,745430,1166970,1166970
245 0363 01100,PABX,00256 WHITNEY AV,YALE UNIVERSITY,,0/0,7.58,5630310,21071960,26702270,26702270
280 0250 00603,PABX,00256 YORK ST,YALE UNIVERSITY,,0/0,0.1,196910,220220,417130,417130
277 0114 01400,PABX,00258 WASHINGTON AV,BETA 14 LLC,,8405/5,0.21,51590,0,51590,51590
247 0394 00800,PABX,00265 MANSFIELD ST,YALE UNIVERSITY,,0/0,1.3,108920,329630,438550,438550
277 0114 00200,PABX,00266 CEDAR ST,BETA 14 LLC,,8404/300,0.02,18340,0,18340,18340
263 0126 00201,PABX,00270 CONGRESS AV,YALE UNIVERSITY,,7879/317,0.32,235340,192640,427980,427980
262 0220 00300,PABX,00270 CROWN ST,YALE UNIVERSITY,,0/0,0.19,285530,983360,1268890,1268890
277 0114 01300,PABX,00270 WASHINGTON AV,BETA 14 LLC,,8404/307,0.15,49210,0,49210,49210
280 0250 01001,PABX,00272 ELM ST,YALE UNIV CONTROLLER,,3669/0,0.24,295540,2797900,3093440,3093440
246 0362 04000,PABX,00276 PROSPECT ST,YALE UNIVERSITY,,0/0,1.23,387660,1152550,1540210,1540210
285 0392 00200,PABX,00276 WINCHESTER AV,FENIX I LLC,,8793/227,3.11,155750,18820200,18975950,18975950
245 0363 00400,PABX,00285 PROSPECT ST,YALE UNIVERSITY,,0/0,0.69,592690,36273860,36866550,36866550
243 0289 01200,PABX,00294 TEMPLE ST,YALE UNIVERSITY,,0/0,0.08,492730,1077160,1569890,1569890
261 0231 02100,PABX,00295 CROWN ST,YALE UNIVERSITY,,0/0,0.16,278390,358890,637280,637280
247 0394 00900,PABX,00295 MANSFIELD ST,YALE UNIVERSITY,,0/0,1.65,455000,2096500,2551500,2551500
280 0250 00902,PABX,00296 ELM ST,YALE UNIVERSITY,,0/0,0.14,160860,283710,444570,444570
251 0509 00300,PABX,00300 EAST ROCK RD,ALBERTUS MAGNUS COLLEGE,,0/0,1.4,220430,844480,1064910,1064910
261 0231 02200,PABX,00301 CROWN ST,YALE UNIVERSITY,,0/0,0.15,275800,372820,648620,648620
245 0363 00500,PABX,00301 PROSPECT ST,YALE UNIVERSITY,,0/0,1.36,267890,980770,1248660,1248660
243 0289 01100,PABX,00302 TEMPLE ST,YALE UNIVERSITY,,0/0,0.15,552580,921970,1474550,1474550
260 0307 00400,PABX,00302 YORK ST,YALE UNIVERSITY,,0/0,0.05,236040,0,236040,236040
280 0250 00901,PABX,00304 ELM ST,YALE UNIVERSITY,,0/0,0.09,88270,0,88270,88270
261 0231 02300,PABX,00307 CROWN ST,YALE UNIVERSITY,,0/0,0.28,304010,1288140,1592150,1592150
221 0396 01000,PABX,00309 EDWARDS ST,YALE UNIVERSITY,,0/0,0.59,139160,1125180,1264340,1264340
280 0250 00801,PABX,00310 ELM ST,YALE UNIVERSITY,,3669/0,0.07,241780,4238710,4480490,4480490
246 0362 03700,PABX,00310 PROSPECT ST,YALE UNIVERSITY,,4249/91,0.59,292460,550550,843010,843010
243 0289 01000,PABX,00310 TEMPLE ST,YALE UNIVERSITY,,0/0,0.45,678440,27930,706370,706370
261 0231 00100,PABX,00313 CROWN ST,YALE UNIVERSITY,,0/0,0.1,253610,624470,878080,878080
246 0362 03600,PABX,00314 PROSPECT ST,YALE UNIVERSITY,,4249/91,0.81,303800,376530,680330,680330
245 0363 00900,PABX,00320 EDWARDS ST,YALE UNIVERSITY,,5150/8,2.24,1411970,5933690,7345660,7345660
243 0289 00900,PABX,00320 TEMPLE ST,YALE UNIVERSITY,,0/0,0.28,608090,362110,970200,970200
260 0307 00200,PABX,00320 YORK ST,YALE UNIVERSITY,,0/0,1.67,1311870,30128910,31440780,31440780
280 0230 02300,PABX,00321 CROWN ST,YALE UNIVERSITY,,7138/19,0.14,322910,17570,340480,340480
243 0289 00800,PABX,00328 TEMPLE ST,YALE UNIVERSITY,,0/0,0.22,584500,283150,867650,867650
261 0252 00400,PABX,00330 COLLEGE ST,YALE UNIVERSITY,,5150/1,2.88,2262470,33776050,36038520,36038520
263 0136 00100,PABX,00333 CEDAR ST,YALE UNIVERSITY,,0/0,5.51,4328450,156402890,160731340,160731340
280 0230 02400,PABX,00333 CROWN ST,YALE UNIVERSITY,,7138/19,0.13,173670,14210,187880,187880
247 0395 01700,PABX,00335 PROSPECT ST,YALE UNIVERSITY,,0/0,3.76,1999760,15190,2014950,2014950
247 0395 00100,PABX,00339 PROSPECT ST,YALE UNIVERSITY,,2440/195,7.17,1304380,18336850,19641230,19641230
245 0363 00800,PABX,00340 EDWARDS ST,YALE UNIVERSITY,,0/0,0.51,144550,534660,679210,679210
280 0230 02601,PABX,00341 CROWN ST,YALE UNIVERSITY,,5922/293,0.32,175420,267540,442960,442960
247 0395 01802,PABX,00341 SAINT RONAN ST,YALE UNIVERSITY,,0/0,0.11,18340,0,18340,18340
248 0395 00203,PABX,00341 SAINT RONAN ST,YALE UNIVERSITY,,0/0,5.76,2722860,0,2722860,2722860
285 0392 00100,PABX,00344 WINCHESTER AV,RENAISSANCE I LLC,,9156/337,15.25,1123150,13226640,14349790,14349790
243 0311 00100,PABX,00347 TEMPLE ST,YALE UNIVERSITY,,0/0,1.66,1304030,48718740,50022770,50022770
262 0203 00102,PABX,00350 GEORGE ST,YALE UNIVERSITY,,9350/184,1.59,449050,9302510,9751560,9751560
248 0395 00201,PABX,00352 CANNER ST,YALE UNIVERSITY,,0/0,2.2,693350,2762130,3455480,3455480
280 0230 02800,PABX,00353 CROWN ST,YALE UNIVERSITY,,5330/34,0.35,319200,3568600,3887800,3887800
247 0394 00600,PABX,00360 PROSPECT ST,YALE UNIVERSITY,,0/0,4.67,1103900,4115440,5219340,5219340
219 0459 00100,PABX,00363 SAINT RONAN ST,BERKELEY DIVINITY SCHOOL,,0/0,0.71,148820,1019060,1167880,1167880
279 0136 00100,PABX,00367 CEDAR ST,YALE UNIVERSITY(HARKNESS HALL),,0/0,1.49,1170470,12719560,13890030,13890030
277 0124 01600,PABX,00370 CONGRESS AV,YALE UNIVERSITY,,5595/166,2.22,1743980,136800860,138544840,138544840
249 0457 00400,PABX,00375 CANNER ST,YALE UNIVERSITY,,0/0,1.08,212730,927640,1140370,1140370
263 0135 00200,PABX,00375 CONGRESS AV,YALE UNIVERSITY,,0/0,1.91,4873750,43441370,48315120,48315120
247 0394 00500,PABX,00386 PROSPECT ST,YALE UNIVERSITY,,0/0,1.7,401870,1948030,2349900,2349900
259 0330 01000,PABX,00400 YORK ST,YALE UNIVERSITY,,5025/324,1.19,934850,30961770,31896620,31896620
223 0334 00700,PABX,00405 TEMPLE ST,YALE UNIVERSITY,,0/0,0.05,235970,264880,500850,500850
247 0394 00300,PABX,00406 PROSPECT ST,YALE UNIVERSITY,,7240/187,0.86,306460,783790,1090250,1090250
223 0334 01201,PABX,00419 TEMPLE ST,YALE UNIVERSITY,,3408/20,0.18,283850,11340,295190,295190
244 0333 01000,PABX,00420 TEMPLE ST,YALE UNIVERSITY,,0/0,0.73,1961960,4973360,6935320,6935320
248 0395 00204,PABX,00423 PROSPECT ST,YALE UNIVERSITY,,0/0,5.51,2387770,29727950,32115720,32115720
244 0333 00900,PABX,00432 TEMPLE ST,YALE UNIVERSITY,,0/0,0.1,257110,578200,835310,835310
223 0334 01501,PABX,00433 TEMPLE ST,YALE UNIVERSITY,,0/0,0.2,218540,1398810,1617350,1617350
244 0333 00800,PABX,00442 TEMPLE ST,YALE UNIVERSITY,,0/0,0.18,282590,203210,485800,485800
243 0289 02000,PABX,00451 COLLEGE ST,YALE UNIVERSITY,,0/0,0.46,684530,3406410,4090940,4090940
278 0134 00400,PABX,00457 CONGRESS AV,YALE UNIVERSITY,,0/0,0.08,30800,0,30800,30800
248 0395 00205,PABX,00459 PROSPECT ST,YALE UNIVERSITY,,0/0,0.17,191870,502600,694470,694470
243 0289 00100,PABX,00469 COLLEGE ST,YALE UNIVERSITY,,0/0,0.18,567140,7244930,7812070,7812070
260 0288 00102,PABX,00470 COLLEGE ST,YALE UNIVERSITY(SPRAGUE MEMOR),,0/0,1.13,887670,17781190,18668860,18668860
243 0310 00300,PABX,00493 COLLEGE ST,YALE UNIVERSITY,,0/0,0.14,545720,5474770,6020490,6020490
243 0310 00112,PABX,00497 COLLEGE ST,YALE UNIVERSITY,,9091/251,0.44,841820,5217660,6059480,6059480
260 0309 00200,PABX,00500 COLLEGE ST,YALE UNIVERSITY-(WOOLSEY HALL),,0/0,1.66,1304030,18635470,19939500,19939500
243 0310 00100,PABX,00509 COLLEGE ST,YALE UNIVERSITY,,0/0,2.7,2121000,39651500,41772500,41772500
249 0457 00500,PABX,00511 PROSPECT ST,YALE UNIVERSITY,,0/0,0.94,272720,1253140,1525860,1525860
249 0457 00600,PABX,00533 PROSPECT ST,YALE UNIVERSITY,,0/0,1.39,219030,939190,1158220,1158220
277 0114 01000,PABX,00655 HOWARD AV,BETA 14 LLC,,8404/316,0.16,49980,0,49980,49980
277 0114 01100,PABX,00659 HOWARD AV,BETA 14 LLC,,8404/313,0.09,45080,0,45080,45080
277 0114 01200,PABX,00663 HOWARD AV,BETA 14 LLC,,8404/310,0.09,45010,0,45010,45010
252 0508 00100,PABX,00700 PROSPECT ST,ALBERTUS MAGNUS COLLEGE,,0/0,28.3,2939510,22423520,25363030,25363030
450 1223 00200,PABX,00746 FOUNTAIN ST,YALE UNIVERSITY,,5567/338,13.52,325640,0,325640,325640
278 0134 00300,PABX,00760 HOWARD AV,YALE UNIVERSITY,,0/0,0.59,34440,0,34440,34440
251 1068 00200,PABX,00765 PROSPECT ST,ALBERTUS MAGNUS COLLEGE,,0/0,0.81,151900,704970,856870,856870
278 0134 00200,PABX,00780 HOWARD AV,YALE UNIVERSITY,,0/0,1.15,781270,4991420,5772690,5772690
278 0134 00100,PABX,00800 HOWARD AV,YALE UNIVERSITY,,0/0,0.85,1901130,12407150,14308280,14308280
252 0508 00200,PABX,00810 PROSPECT ST,ALBERTUS MAGNUS COLLEGE,,2394/345,1.39,138040,510580,648620,648620
261 0252 00100,PABX,01021 CHAPEL ST,YALE UNIVERSITY,,5150/1,1.57,1233330,16406740,17640070,17640070
261 0251 00100,PABX,01073 CHAPEL ST,YALE UNIVERSITY,,0/0,0.9,829570,31335850,32165420,32165420
261 0231 00402,PABX,01074 CHAPEL ST,YALE UNIVERSITY(MELLON ART GA),,0/0,0,0,10784060,10784060,10784060
261 0231 00800,PABX,01120 CHAPEL ST,YALE UNIVERSITY,,5150/1,0.28,611170,2454970,3066140,3066140
280 0230 01000,PABX,01156 CHAPEL ST,YALE UNIVERSITY,,5083/253,0.76,796390,11852820,12649210,12649210
280 0249 02601,PABX,01201 CHAPEL ST,YALE UNIVERSITY,,4298/76,0.34,49490,839300,888790,888790
278 0149 01201,PBBX,00000 HOWARD AV,YALE-NEW HAVEN HOSPITAL INC,,8880/10,0.02,1050,0,1050,1050
298 0161 02000,PBBX,00000 HOWARD AV,YALE-NEW HAVEN HOSPITAL INC -MCS-2,,8324/304,0.08,27790,0,27790,27790
279 0150 00100,PBBX,00001 PARK ST,YALE NEW HAVEN HOSPITAL INC -MCS-2,,4318/39,0.62,10974250,108026590,119000840,119000840
279 0162 00200,PBBX,00008 PARK ST,YALE NEW HAVEN HOSPITAL INC.-MCS-2,,4620/18,0.05,49700,0,49700,49700
279 0150 00200,PBBX,00010 YORK ST,YALE NEW HAVEN HOSPITAL INC,,0/0,2.49,17543470,135240910,152784380,152784380
279 0163 00200,PBBX,00017 PARK ST,YALE NEW HAVEN HOSPITAL INC -MCS-2,,0/0,1.39,2237480,463644510,465881990,465881990
315 1290 00900,PBBX,00020 GILBERT AV,YALE-NEW HAVEN HOSPITAL INC,,8881/335,0.07,30730,0,30730,30730
298 0161 02700,PBBX,00021 SYLVAN AV,YALE-NEW HAVEN HOSPITAL INC -MCS-2,,8324/304,0.34,36330,0,36330,36330
298 0161 02900,PBBX,00027 SYLVAN AV,YALE-NEW HAVEN HOSPITAL INC -MCS-2,,8324/304,0.09,31150,0,31150,31150
298 0161 03000,PBBX,00029 SYLVAN AV,YALE-NEW HAVEN HOSPITAL INC -MCS-2,,8324/304,0.01,770,0,770,770
279 0163 00201,PBBX,00030 YORK ST,CONN HEALTH  EDUCATIONAL    *,,0/0,2.21,9463300,91861350,101324650,101324650
278 0149 01900,PBBX,00031 VERNON ST,YALE-NEW HAVEN HOSPITAL INC,,8880/10,0.17,33600,0,33600,33600
298 0161 01200,PBBX,00034 LEGION AV,YALE-NEW HAVEN HOSPITAL INC -MCS-2,,8324/304,0.16,83020,0,83020,83020
298 0161 01100,PBBX,00046 LEGION AV,YALE-NEW HAVEN  HOSPITAL INC - MCS-2,,8324/304,0.16,66570,0,66570,66570
298 0161 01000,PBBX,00060 LEGION AV,YALE-NEW HAVEN HOSPITAL INC -MCS-2,,8324/304,0.3,57400,0,57400,57400
278 0149 01400,PBBX,00103 DAVENPORT AV,YALE NEW HAVEN HOSPITAL INC -MCS-2,,5442/153,0.1,68250,3150,71400,71400
278 0149 01500,PBBX,00109 DAVENPORT AV,YALE NEW HAVEN HOSPITAL INC -MCS-2,,5442/153,0.1,68600,210,68810,68810
278 0149 01600,PBBX,00111 DAVENPORT AV,YALE NEW HAVEN HOSPITAL INC -MCS-2,,5442/153,0.11,31920,0,31920,31920
317 0197 00100,PBBX,00111 SHERMAN AV,YALE-NEW HAVEN HOSPITAL INC,,8881/335,0.12,43750,0,43750,43750
278 0134 02300,PBBX,00112 DAVENPORT AV,YALE NEW HAVEN HOSPITAL INC -MCS-2,,0/0,0.27,123760,484960,608720,608720
278 0134 02200,PBBX,00116 DAVENPORT AV,YALE-NEW HAVEN HOSPITAL INC -MCS-2,,5559/218,0.18,33740,4340,38080,38080
315 1288 02001,PBBX,00200 ORCHARD ST 101,YALE-NEW HAVEN HOSPITAL INC,,8881/342,0,0,53060,53060,53060
315 1288 02003,PBBX,00200 ORCHARD ST 103,YALE-NEW HAVEN HOSPITAL INC,,8881/342,0,0,38780,38780,38780
315 1288 02004,PBBX,00200 ORCHARD ST 104,YALE-NEW HAVEN HOSPITAL INC,,8881/342,0,0,53410,53410,53410
315 1288 02005,PBBX,00200 ORCHARD ST 105,YALE-NEW HAVEN HOSPITAL INC,,8881/342,0,0,54040,54040,54040
315 1288 02006,PBBX,00200 ORCHARD ST 106,YALE-NEW HAVEN HOSPITAL INC,,8881/342,0,0,51940,51940,51940
315 1288 02007,PBBX,00200 ORCHARD ST 107,YALE-NEW HAVEN HOSPITAL INC,,8881/342,0,0,87360,87360,87360
315 1288 02010,PBBX,00200 ORCHARD ST 201,YALE-NEW HAVEN HOSPITAL INC,,8881/342,0,0,58730,58730,58730
315 1288 02011,PBBX,00200 ORCHARD ST 202,YALE-NEW HAVEN HOSPITAL INC,,8881/342,0,0,53690,53690,53690
315 1288 02012,PBBX,00200 ORCHARD ST 203,YALE-NEW HAVEN HOSPITAL INC,,8881/342,0,0,54390,54390,54390
315 1288 02013,PBBX,00200 ORCHARD ST 204,YALE-NEW HAVEN HOSPITAL INC,,8881/342,0,0,54390,54390,54390
315 1288 02014,PBBX,00200 ORCHARD ST 205,YALE-NEW HAVEN HOSPITAL INC,,8881/342,0,0,58730,58730,58730
315 1288 02015,PBBX,00200 ORCHARD ST 206,YALE-NEW HAVEN HOSPITAL INC,,8881/342,0,0,55580,55580,55580
315 1288 02016,PBBX,00200 ORCHARD ST 207,YALE-NEW HAVEN HOSPITAL INC,,8881/342,0,0,99820,99820,99820
315 1288 02021,PBBX,00200 ORCHARD ST 303,YALE-NEW HAVEN HOSPITAL INC,,8881/342,0,0,54390,54390,54390
315 1288 02022,PBBX,00200 ORCHARD ST 304,YALE-NEW HAVEN HOSPITAL INC,,8881/342,0,0,38360,38360,38360
315 1288 02024,PBBX,00200 ORCHARD ST 306,YALE-NEW HAVEN HOSPITAL INC,,8881/342,0,0,57190,57190,57190
315 1288 02028,PBBX,00200 ORCHARD ST 310,YALE-NEW HAVEN HOSPITAL INC,,8881/342,0,0,59500,59500,59500
315 1288 02029,PBBX,00200 ORCHARD ST 401,YALE-NEW HAVEN HOSPITAL INC,,8881/342,0,0,91770,91770,91770
315 1288 02031,PBBX,00200 ORCHARD ST 403,YALE-NEW HAVEN HOSPITAL INC,,8881/342,0,0,65730,65730,65730
315 1288 02032,PBBX,00200 ORCHARD ST 404,YALE-NEW HAVEN HOSPITAL INC,,8881/342,0,0,89180,89180,89180
315 1288 02033,PBBX,00200 ORCHARD ST 405,YALE-NEW HAVEN HOSPITAL INC,,8881/342,0,0,91000,91000,91000
315 1288 02034,PBBX,00200 ORCHARD ST 406,YALE-NEW HAVEN HOSPITAL INC,,8881/342,0,0,86800,86800,86800
315 1288 02035,PBBX,00200 ORCHARD ST 407,YALE-NEW HAVEN HOSPITAL INC,,8881/342,0,0,59430,59430,59430
315 1288 02036,PBBX,00200 ORCHARD ST 408,YALE-NEW HAVEN HOSPITAL INC,,8881/342,0,0,91770,91770,91770
315 1290 00800,PBBX,00233 ORCHARD ST,YALE-NEW HAVEN HOSPITAL INC,,8881/335,0.01,490,0,490,490
315 1293 00100,PBBX,00285 ORCHARD ST,YALE-NEW HAVEN HOSPITAL INC,,8881/311,0.14,51310,8610,59920,59920
315 1293 00200,PBBX,00289 ORCHARD ST,YALE-NEW HAVEN HOSPITAL INC,,8881/311,0.14,51380,9800,61180,61180
315 1293 00400,PBBX,00301 ORCHARD ST,YALE-NEW HAVEN HOSPITAL INC,,8881/311,0.2,53970,11480,65450,65450
279 0163 00100,PBBX,00318 OAK ST,YALE NEW HAVEN HOSPITAL INC -MCS-2,,3069/12,0.06,43820,3570,47390,47390
315 1293 00402,PBBX,00323 ORCHARD ST,YALE-NEW HAVEN HOSPITAL INC,,8881/311,1,1620010,3784830,5404840,5404840
317 0213 00102,PBBX,00330 ORCHARD ST,YALE-NEW HAVEN HOSPITAL INC,,8881/296,1.38,1778560,20460790,22239350,22239350
279 0217 01700,PBBX,00425 GEORGE ST,YALE NEW HAVEN HOSPITAL INC -MCS-2,,4906/66,0.79,215530,972650,1188180,1188180
297 0215 01600,PBBX,00501 GEORGE ST,YALE-NEW HAVEN HOSPITAL INC,,9627/218,0.34,59640,1090670,1150310,1150310
315 1293 03200,PBBX,00579 GEORGE ST,YALE-NEW HAVEN HOSPITAL INC,,8881/311,0.21,34230,13230,47460,47460
315 1293 03300,PBBX,00583 GEORGE ST,YALE-NEW HAVEN HOSPITAL INC,,8881/311,0.09,31360,5950,37310,37310
315 1289 01200,PBBX,00600 GEORGE ST,YALE-NEW HAVEN HOSPITAL INC,,8881/335,0.16,31710,700,32410,32410
317 0213 00200,PBBX,00629 GEORGE ST,YALE-NEW HAVEN HOSPITAL INC,,8881/296,1.18,1390480,280,1390760,1390760
317 0213 00201,PBBX,00629 GEORGE ST,YALE-NEW HAVEN HOSPITAL INC,,8881/296,0,0,6250580,6250580,6250580
317 0197 00700,PBBX,00646 GEORGE ST,YALE-NEW HAVEN HOSPITAL INC,,8881/335,0.13,50540,169610,220150,220150
263 0135 00100,PBBX,00789 HOWARD AV,YALE NEW HAVEN HOSPITAL -MCS-2,,3302/306,5.54,14967960,131622750,146590710,146590710
278 0149 01200,PBBX,00836 HOWARD AV,YALE-NEW HAVEN HOSPITAL INC,,8880/10,0.11,95410,177520,272930,272930
278 0149 01100,PBBX,00840 HOWARD AV,YALE-NEW HAVEN HOSPITAL INC,,8880/10,0.13,98560,253400,351960,351960
278 0149 01000,PBBX,00842 HOWARD AV,YALE-NEW HAVEN HOSPITAL INC,,8880/10,0.11,94430,120540,214970,214970
278 0149 00600,PBBX,00860 HOWARD AV,RONALD MCDONALD HOUSE CHARITIES OF CONN,,9391/148,0.62,136710,5967640,6104350,6104350
278 0149 00200,PBBX,00878 HOWARD AV,YALE NEW HAVEN HOSPITAL INC -MCS-2,,7842/215,0.4,121030,757260,878290,878290
298 0161 02100,PBBX,00912 HOWARD AV,YALE-NEW HAVEN HOSPITAL INC,,9081/4,0.86,3177860,0,3177860,3177860
298 0161 01800,PBBX,00914 HOWARD AV,YALE-NEW HAVEN HOSPITAL INC,,9081/4,0.14,29540,8960,38500,38500
298 0161 02001,PBBX,00914 HOWARD AV,YALE-NEW HAVEN HOSPITAL INC,,8324/304,0.15,59430,0,59430,59430
315 1293 01600,PBBX,01342 CHAPEL ST,YALE-NEW HAVEN HOSPITAL INC,,8881/311,0.29,57680,14350,72030,72030
315 1293 00900,PBBX,01380 CHAPEL ST,YALE-NEW HAVEN HOSPITAL INC,,8881/311,0.11,48370,242130,290500,290500
316 0243 02500,PBBX,01389 CHAPEL ST,YALE-NEW HAVEN HOSPITAL INC,,8881/335,0.17,52640,322560,375200,375200
318 0242 02800,PBBX,01441 CHAPEL ST,YALE-NEW HAVEN HOSPITAL INC,,8881/335,0.27,56630,345170,401800,401800
317 0213 00100,PBBX,01450 CHAPEL ST,YALE-NEW HAVEN HOSPITAL INC,,8881/296,8.11,14931910,262468290,277400200,277400200