Unique.ID,Address_in,Address_out,Owner.Or.Facility,Land.Assessment,Building.Assessment,ID,Match,Coords,FIPS,Park,Parking_lot
219 0459 00102,"00000 AUTUMN ST, New Haven, CT",,BERKELEY DIVINITY SCHOOL THE,193060,0,1,No_Match,,,,
219 0459 00103,"00000 AUTUMN ST, New Haven, CT",,BERKELEY DIVINITY SCHOOL INC,193060,0,2,No_Match,,,,
260 0307 01900,"00000 BROADWAY, New Haven, CT",,YALE UNIVERSITY,305200,0,3,No_Match,,,,
248 0395 00200,"00000 CANNER ST, New Haven, CT",,YALE UNIVERSITY,225960,10850,4,No_Match,,,,
264 0103 00900,"00000 CEDAR ST, New Haven, CT",,YALE UNIVERSITY,1731520,24518690,5,No_Match,,,,
277 0114 01502,"00000 CEDAR ST, New Haven, CT",,BETA 14 LLC,4620,0,6,No_Match,,,,
376 1079 00110,"00000 CHAPEL ST, New Haven, CT",,YALE UNIVERSITY,170310,0,7,No_Match,,,,
243 0311 00400,"00000 CHURCH ST, New Haven, CT",,YALE UNIVERSITY,586740,12950,8,No_Match,,,,
264 0103 01200,"00000 CHURCH ST SOUTH, New Haven, CT",,YALE UNIVERSITY,73850,0,9,No_Match,,,,
264 0103 00300,"00000 COLUMBUS AV, New Haven, CT",,YALE UNIVERSITY,36960,0,10,No_Match,,,,
264 0103 00400,"00000 COLUMBUS AV, New Haven, CT",,YALE UNIVERSITY,39900,0,11,Tie,,,,
260 0288 00105,"00000 HIGH ST, New Haven, CT",,YALE UNIVERSITY,572250,0,12,No_Match,,,,
260 0288 00200,"00000 HIGH ST, New Haven, CT",,YALE UNIVERSITY,2294320,0,13,No_Match,,,,
244 0332 00301,"00000 HILLHOUSE AV, New Haven, CT",,YALE UNIVERSITY,1045870,0,14,No_Match,,,,
244 0332 00602,"00000 HILLHOUSE AV, New Haven, CT",,YALE UNIVERSITY,190540,0,15,No_Match,,,,
244 0333 00401,"00000 HILLHOUSE AV, New Haven, CT",,YALE UNIVERSITY,597310,0,16,No_Match,,,,
244 0333 00501,"00000 HILLHOUSE AV, New Haven, CT",,YALE UNIVERSITY,569870,17220,17,No_Match,,,,
246 0362 04001,"00000 MANSFIELD ST, New Haven, CT",,YALE UNIVERSITY,3430,0,18,No_Match,,,,
246 0362 03500,"00000 PROSPECTST, New Haven, CT",,YALE UNIVERSITY,477540,1470,19,No_Match,,,,
245 0363 00200,"00000 PROSPECTST, New Haven, CT",,YALE UNIVERSITY,842240,0,20,No_Match,,,,
377 1079 00103,"00000 YALE AV, New Haven, CT",,YALE UNIVERSITY,2260300,324100,21,No_Match,,,,
280 0250 02200,"00000 YORK ST, New Haven, CT",,YALE UNIVERSITY,11270,2030,22,No_Match,,,,
280 0250 00601,"00000 YORK ST, New Haven, CT",,YALE UNIVERSITY,350560,0,23,No_Match,,,,
280 0250 00602,"00000 YORK ST, New Haven, CT",,YALE UNIVERSITY,31710,0,24,No_Match,,,,
260 0307 00101,"00000 YORK ST, New Haven, CT",,YALE UNIVERSITY,9380,0,25,No_Match,,,,
260 0287 00100,"00000 YORK ST, New Haven, CT",,YALE UNIVERSITY,1013390,0,26,No_Match,,,,
223 0334 00450,"00002 WHITNEY AV 1A, New Haven, CT","2 WHITNEY AVE, New Haven, CT, 06510",YALE UNIVERSITY,0,265440,29,No_Match,-72.92218 Y: 41.311775,09009142000,,
223 0334 00461,"00002 WHITNEY AV 2, New Haven, CT","3 WHITNEY AVE, New Haven, CT, 06510",YALE UNIVERSITY,0,1399860,30,No_Match,-72.92218 Y: 41.311776,09009142001,,
223 0334 00463,"00002 WHITNEY AV 3, New Haven, CT","4 WHITNEY AVE, New Haven, CT, 06510",YALE UNIVERSITY,0,1572620,31,No_Match,-72.92218 Y: 41.311777,09009142002,,
223 0334 00464,"00002 WHITNEY AV 4, New Haven, CT","5 WHITNEY AVE, New Haven, CT, 06510",YALE UNIVERSITY,70,1213940,32,No_Match,-72.92218 Y: 41.311778,09009142003,,
223 0334 00465,"00002 WHITNEY AV 4, New Haven, CT","6 WHITNEY AVE, New Haven, CT, 06510",YALE UNIVERSITY,0,454790,33,No_Match,-72.92218 Y: 41.311779,09009142004,,
223 0334 00467,"00002 WHITNEY AV 5, New Haven, CT","7 WHITNEY AVE, New Haven, CT, 06510",YALE UNIVERSITY,70,1424360,34,No_Match,-72.92218 Y: 41.311780,09009142005,,
223 0334 00469,"00002 WHITNEY AV 6, New Haven, CT","8 WHITNEY AVE, New Haven, CT, 06510",YALE UNIVERSITY,70,1421490,35,No_Match,-72.92218 Y: 41.311781,09009142006,,
223 0334 00471,"00002 WHITNEY AV 7, New Haven, CT","9 WHITNEY AVE, New Haven, CT, 06510",YALE UNIVERSTIY,70,1162140,36,No_Match,-72.92218 Y: 41.311782,09009142007,,
223 0334 00473,"00002 WHITNEY AV 8, New Haven, CT","10 WHITNEY AVE, New Haven, CT, 06510",YALE UNIVERSITY,70,1171240,37,No_Match,-72.92218 Y: 41.311783,09009142008,,
223 0334 00474,"00002 WHITNEY AV G, New Haven, CT","11 WHITNEY AVE, New Haven, CT, 06510",YALE UNIVERSITY,70,739620,38,No_Match,-72.92218 Y: 41.311784,09009142009,,
223 0334 00475,"00002 WHITNEY AV G, New Haven, CT","12 WHITNEY AVE, New Haven, CT, 06510",YALE UNIVERSITY,0,1206380,39,No_Match,-72.92218 Y: 41.311785,09009142010,,
261 0231 02000,"00024 HIGH ST, New Haven, CT","24 HIGH ST, NEW HAVEN, CT, 06510",YALE UNIVERSITY,252770,5600,50,Tie,-72.93086 Y: 41.30717,09009361401,,
261 0231 01900,"00026 HIGH ST, New Haven, CT","26 HIGH ST, NEW HAVEN, CT, 06510",YALE UNIVERSITY,190260,295540,52,Tie,-72.93084 Y: 41.30721,09009361401,,
377 1080 00500,"00040 CENTRAL AV, New Haven, CT","40 CENTRAL AVE, NEW HAVEN, CT, 06515",YALE UNIVERSITY,799470,1734460,64,Tie,-72.96362 Y: 41.31139,09009141000,,
223 0382 00170,"00055 WHITNEY AV 3, New Haven, CT","55 WHITNEY AVE, NEW HAVEN, CT, 06510",YALE UNIVERSITY,0,1106280,76,No_Match,-72.92213 Y: 41.311886,09009142000,,
223 0382 00171,"00055 WHITNEY AV 4, New Haven, CT","56 WHITNEY AVE, NEW HAVEN, CT, 06510",YALE UNIVERSITY,0,2138080,77,No_Match,-72.92213 Y: 41.311887,09009142001,,
223 0382 00172,"00055 WHITNEY AV 5, New Haven, CT","57 WHITNEY AVE, NEW HAVEN, CT, 06510",YALE UNIVERSITY,0,2429210,78,No_Match,-72.92213 Y: 41.311888,9009142002,,
223 0382 00173,"00055 WHITNEY AV 6, New Haven, CT","58 WHITNEY AVE, NEW HAVEN, CT, 06510",YALE UNIVERSITY,0,2431870,79,No_Match,-72.92213 Y: 41.311889,09009142003,,
223 0382 00174,"00055 WHITNEY AV 7, New Haven, CT","59 WHITNEY AVE, NEW HAVEN, CT, 06510",YALE UNIVERSITY,0,1572620,80,No_Match,-72.92213 Y: 41.311890,09009142004,,
223 0334 01603,"00058 WHITNEY AV, New Haven, CT","60 WHITNEY AVE, NEW HAVEN, CT, 06510",YALE UNIVERSITY,194390,415660,81,No_Match,-72.92212 Y: 41.311943,09009142000,,
261 0252 00200,"00061 HIGH ST, New Haven, CT","1 HIGH ST, NEW HAVEN, CT, 06510",YALE UNIVERSITY,2301740,20275780,83,Tie,-72.9290981 Y:41.3088844,09009361401,,
377 1079 00200,"00067 CENTRAL AV, New Haven, CT","67 CENTRAL AVE, NEW HAVEN, CT, 06515",YALE UNIVERSITY,722540,4758530,85,Tie,-72.96366 Y: 41.311108,09009141000,,
223 0334 01602,"00068 WHITNEY AV, New Haven, CT","68 WHITNEY AVE, NEW HAVEN, CT, 06510",YALE UNIVERSITY,106890,106260,88,No_Match,-72.92211 Y: 41.31197,09009142000,,
264 0103 00100,"00100 CHURCH ST SOUTH, New Haven, CT","100 CHURCH ST, NEW HAVEN, CT, 06510",YALE UNIVERSITY,2089360,6688640,110,Tie,-72.926 Y: 41.305725,09009140101,,
264 0121 00403,"00104 WASHINGTON AV, New Haven, CT","104 WASHINGTON AVE, NEW HAVEN, CT, 06519",AMISTAD PARTNERS LLC,51310,0,112,Tie,-72.93217 Y: 41.301437,09009140300,1,
260 0288 00104,"00115 HIGH ST, New Haven, CT","115 HIGH ST, NEW HAVEN, CT, 06511",YALE UNIVERSITY,2352350,26753720,116,Tie,-72.92856 Y: 41.31039,09009361402,,
260 0287 00101,"00120 HIGH ST, New Haven, CT","120 HIGH ST, NEW HAVEN, CT, 06511",YALE UNIVERSITY,1013390,97970320,117,Tie,-72.92853 Y: 41.310463,09009361402,,
260 0308 00100,"00140 HIGH ST, New Haven, CT","140 HIGH ST, NEW HAVEN, CT, 06511",YALE UNIVERSITY,1728230,56792890,125,Tie,-72.92837 Y: 41.31068,09009361402,,
277 0114 00100,"00156 WASHINGTON AV, New Haven, CT","156 WASHINGTON AVE, NEW HAVEN, CT, 06519",BETA 14 LLC,36540,0,133,Tie,-72.9328 Y: 41.3009,09009140300,,1
244 0365 00900,"00158 WHITNEY AV, New Haven, CT","158 WHITNEY AVE, NEW HAVEN, CT, 06510",YALE UNIVERSITY,263830,10964590,134,No_Match,-72.92097 Y: 41.315224,09009361402,,
377 1079 00100,"00165 CENTRAL AV, New Haven, CT","165 CENTRAL AVE, NEW HAVEN, CT, 06515",YALE UNIVERSITY,1818880,3489080,136,Tie,-72.96391 Y: 41.313652,09009141000,,
277 0114 02400,"00174 WASHINGTON AV, New Haven, CT","174 WASHINGTON AVE, NEW HAVEN, CT, 06519",BETA 14 LLC,49980,0,140,Tie,-72.93317 Y: 41.3006,09009140300,,1
277 0114 02200,"00180 WASHINGTON AV, New Haven, CT","180 WASHINGTON AVE, NEW HAVEN, CT, 06519",BETA 14 LLC,49420,0,142,Tie,-72.933235 Y: 41.30054,09009140300,,1
245 0363 01200,"00180 WHITNEY AV, New Haven, CT","180 WHITNEY AVE, NEW HAVEN, CT, 06511",YALE UNIVERSITY,4597810,51497460,143,No_Match,-72.920395 Y: 41.31646,09009361402,,
277 0114 02100,"00192 WASHINGTON AV, New Haven, CT","192 WASHINGTON AVE, NEW HAVEN, CT, 06519",BETA 14 LLC,47320,0,149,Tie,-72.93337 Y: 41.300426,09009140300,,1
277 0114 02000,"00208 WASHINGTON AV, New Haven, CT","208 WASHINGTON AVE, NEW HAVEN, CT, 06519",BETA 14 LLC,46830,0,162,Tie,-72.933556 Y: 41.300274,09009140300,,1
277 0114 01900,"00216 WASHINGTON AV, New Haven, CT","216 WASHINGTON AVE, NEW HAVEN, CT, 06519",BETA 14 LLC,44030,0,169,Tie,-72.93365 Y: 41.3002,09009140300,,1
277 0114 00601,"00220 WASHINGTON AV, New Haven, CT","220 WASHINGTON AVE, New Haven, CT, 06511",BETA 14 LLC,24500,0,171,Tie,-72.933685 Y: 41.300163,09009140300,,1
277 0114 01800,"00224 WASHINGTON AV, New Haven, CT","224 WASHINGTON AVE, NEW HAVEN, CT, 06519",BETA 14 LLC,44940,0,175,Tie,-72.93373 Y: 41.300125,09009140300,,1
277 0123 00700,"00225 WASHINGTON AV, New Haven, CT","225 WASHINGTON AVE, New Haven, CT, 06519",YALE UNIVERSITY,291060,82390,178,Tie,-72.93403 Y: 41.2999,09009140300,,1
277 0114 01700,"00230 WASHINGTON AV, New Haven, CT","230 WASHINGTON AVE, NEW HAVEN, CT, 06519",BETA 14 LLC,45290,0,180,Tie,-72.9338 Y: 41.300068,09009140300,,
277 0114 01600,"00236 WASHINGTON AV, New Haven, CT","236 WASHINGTON AVE, New Haven, CT, 06519",BETA 14 LLC,46130,0,183,Tie,-72.93387 Y: 41.30001,09009140300,,
277 0114 01500,"00246 WASHINGTON AV, New Haven, CT","246 WASHINGTON AVE, New Haven, CT, 06519",ALPHA 9 LLC,44170,0,187,Tie,-72.93398 Y: 41.299915,09009140300,,
277 0114 01400,"00258 WASHINGTON AV, New Haven, CT","258 WASHINGTON AVE, New Haven, CT, 06519",BETA 14 LLC,51590,0,192,Tie,-72.93412 Y: 41.299805,09009140300,,
277 0114 01300,"00270 WASHINGTON AV, New Haven, CT","270 WASHINGTON AVE, NEW HAVEN, CT, 06519",BETA 14 LLC,49210,0,197,Tie,-72.93426 Y: 41.29969,09009140300,,
259 0330 01000,"00400 YORK ST, New Haven, CT","122 Tower Pkwy, New Haven, CT 06511",YALE UNIVERSITY,934850,30961770,245,No_Match,-72.93001 Y: 41.31341,09009361402,,
278 0149 01201,"00000 HOWARD AV, New Haven, CT",,YALE-NEW HAVEN HOSPITAL INC,1050,0,281,No_Match,,,,
298 0161 02000,"00000 HOWARD AV, New Haven, CT",,YALE-NEW HAVEN HOSPITAL INC -MCS-2,27790,0,282,No_Match,,,,
279 0150 00100,"00001 PARK ST, New Haven, CT","1 PARK ST, NEW HAVEN, CT, 06504",YALE NEW HAVEN HOSPITAL INC -MCS-2,10974250,108026590,283,Tie,-72.9364472 Y: 41.3042785,09009140300,,
279 0162 00200,"00008 PARK ST, New Haven, CT","8 PARK ST, NEW HAVEN, CT, 06519",YALE NEW HAVEN HOSPITAL INC.-MCS-2,49700,0,284,Tie,-72.9369001 Y: 41.3046414,09009140300,1,
279 0163 00200,"00017 PARK ST, New Haven, CT","17 PARK ST, New Haven, CT, 06513",YALE NEW HAVEN HOSPITAL INC -MCS-2,2237480,463644510,286,Tie,-72.9359735 Y: 41.3049538,09009140300,,
315 1290 00900,"00020 GILBERT AV, New Haven, CT","20 GILBERT AVE, NEW HAVEN, CT, 06511",YALE-NEW HAVEN HOSPITAL INC,30730,0,287,Tie,-72.94186 Y: 41.30804,09009140800,1,
278 0149 01900,"00031 VERNON ST, New Haven, CT","31 VERNON ST, NEW HAVEN, CT, 06519",YALE-NEW HAVEN HOSPITAL INC,33600,0,292,Tie,-72.937454 Y: 41.30301,09009140600,,
298 0161 01200,"00034 LEGION AV, New Haven, CT","34 LEGION AVE, New Haven, CT, 06519",YALE-NEW HAVEN HOSPITAL INC -MCS-2,83020,0,293,No_Match,-72.9385279 Y: 41.305913,09009140600,,1
298 0161 01100,"00046 LEGION AV, New Haven, CT","46 LEGION AVE, New Haven, CT, 06519",YALE-NEW HAVEN  HOSPITAL INC - MCS-2,66570,0,294,No_Match,-72.9387261 Y: 41.3059028,09009140600,,1
298 0161 01000,"00060 LEGION AV, New Haven, CT","60 LEGION AVE, New Haven, CT, 06519",YALE-NEW HAVEN HOSPITAL INC -MCS-2,57400,0,295,No_Match,-72.9388961 Y: 41.305705,09009140600,,1
317 0197 00100,"00111 SHERMAN AV, New Haven, CT","111 SHERMAN AVE, NEW HAVEN, CT, 06511",YALE-NEW HAVEN HOSPITAL INC,43750,0,299,Tie,-72.94535 Y: 41.3094,09009140800,,
315 1288 02001,"00200 ORCHARD ST 101, New Haven, CT","200 ORCHARD ST, New Haven, CT, 06511",YALE-NEW HAVEN HOSPITAL INC,0,53060,302,No_Match,-72.9431577 Y: 41.3074259,09009140800,,
315 1288 02003,"00200 ORCHARD ST 103, New Haven, CT","201 ORCHARD ST, New Haven, CT, 06511",YALE-NEW HAVEN HOSPITAL INC,0,38780,303,No_Match,-72.9431577 Y: 41.3074259,09009140800,,
315 1288 02004,"00200 ORCHARD ST 104, New Haven, CT","202 ORCHARD ST, New Haven, CT, 06511",YALE-NEW HAVEN HOSPITAL INC,0,53410,304,No_Match,-72.9431577 Y: 41.3074260,09009140800,,
315 1288 02005,"00200 ORCHARD ST 105, New Haven, CT","203 ORCHARD ST, New Haven, CT, 06511",YALE-NEW HAVEN HOSPITAL INC,0,54040,305,No_Match,-72.9431577 Y: 41.3074261,09009140800,,
315 1288 02006,"00200 ORCHARD ST 106, New Haven, CT","204 ORCHARD ST, New Haven, CT, 06511",YALE-NEW HAVEN HOSPITAL INC,0,51940,306,No_Match,-72.9431577 Y: 41.3074262,09009140800,,
315 1288 02007,"00200 ORCHARD ST 107, New Haven, CT","205 ORCHARD ST, New Haven, CT, 06511",YALE-NEW HAVEN HOSPITAL INC,0,87360,307,No_Match,-72.9431577 Y: 41.3074263,09009140800,,
315 1288 02010,"00200 ORCHARD ST 201, New Haven, CT","206 ORCHARD ST, New Haven, CT, 06511",YALE-NEW HAVEN HOSPITAL INC,0,58730,308,No_Match,-72.9431577 Y: 41.3074264,09009140800,,
315 1288 02011,"00200 ORCHARD ST 202, New Haven, CT","207 ORCHARD ST, New Haven, CT, 06511",YALE-NEW HAVEN HOSPITAL INC,0,53690,309,No_Match,-72.9431577 Y: 41.3074265,09009140800,,
315 1288 02012,"00200 ORCHARD ST 203, New Haven, CT","208 ORCHARD ST, New Haven, CT, 06511",YALE-NEW HAVEN HOSPITAL INC,0,54390,310,No_Match,-72.9431577 Y: 41.3074266,09009140800,,
315 1288 02013,"00200 ORCHARD ST 204, New Haven, CT","209 ORCHARD ST, New Haven, CT, 06511",YALE-NEW HAVEN HOSPITAL INC,0,54390,311,No_Match,-72.9431577 Y: 41.3074267,09009140800,,
315 1288 02014,"00200 ORCHARD ST 205, New Haven, CT","210 ORCHARD ST, New Haven, CT, 06511",YALE-NEW HAVEN HOSPITAL INC,0,58730,312,No_Match,-72.9431577 Y: 41.3074268,09009140800,,
315 1288 02015,"00200 ORCHARD ST 206, New Haven, CT","211 ORCHARD ST, New Haven, CT, 06511",YALE-NEW HAVEN HOSPITAL INC,0,55580,313,No_Match,-72.9431577 Y: 41.3074269,09009140800,,
315 1288 02016,"00200 ORCHARD ST 207, New Haven, CT","212 ORCHARD ST, New Haven, CT, 06511",YALE-NEW HAVEN HOSPITAL INC,0,99820,314,No_Match,-72.9431577 Y: 41.3074270,09009140800,,
315 1288 02021,"00200 ORCHARD ST 303, New Haven, CT","213 ORCHARD ST, New Haven, CT, 06511",YALE-NEW HAVEN HOSPITAL INC,0,54390,315,No_Match,-72.9431577 Y: 41.3074271,09009140800,,
315 1288 02022,"00200 ORCHARD ST 304, New Haven, CT","214 ORCHARD ST, New Haven, CT, 06511",YALE-NEW HAVEN HOSPITAL INC,0,38360,316,No_Match,-72.9431577 Y: 41.3074272,09009140800,,
315 1288 02024,"00200 ORCHARD ST 306, New Haven, CT","215 ORCHARD ST, New Haven, CT, 06511",YALE-NEW HAVEN HOSPITAL INC,0,57190,317,No_Match,-72.9431577 Y: 41.3074273,09009140800,,
315 1288 02028,"00200 ORCHARD ST 310, New Haven, CT","216 ORCHARD ST, New Haven, CT, 06511",YALE-NEW HAVEN HOSPITAL INC,0,59500,318,No_Match,-72.9431577 Y: 41.3074274,09009140800,,
315 1288 02029,"00200 ORCHARD ST 401, New Haven, CT","217 ORCHARD ST, New Haven, CT, 06511",YALE-NEW HAVEN HOSPITAL INC,0,91770,319,No_Match,-72.9431577 Y: 41.3074275,09009140800,,
315 1288 02031,"00200 ORCHARD ST 403, New Haven, CT","218 ORCHARD ST, New Haven, CT, 06511",YALE-NEW HAVEN HOSPITAL INC,0,65730,320,No_Match,-72.9431577 Y: 41.3074276,09009140800,,
315 1288 02032,"00200 ORCHARD ST 404, New Haven, CT","219 ORCHARD ST, New Haven, CT, 06511",YALE-NEW HAVEN HOSPITAL INC,0,89180,321,No_Match,-72.9431577 Y: 41.3074277,09009140800,,
315 1288 02033,"00200 ORCHARD ST 405, New Haven, CT","220 ORCHARD ST, New Haven, CT, 06511",YALE-NEW HAVEN HOSPITAL INC,0,91000,322,No_Match,-72.9431577 Y: 41.3074278,09009140800,,
315 1288 02034,"00200 ORCHARD ST 406, New Haven, CT","221 ORCHARD ST, New Haven, CT, 06511",YALE-NEW HAVEN HOSPITAL INC,0,86800,323,No_Match,-72.9431577 Y: 41.3074279,09009140800,,
315 1288 02035,"00200 ORCHARD ST 407, New Haven, CT","222 ORCHARD ST, New Haven, CT, 06511",YALE-NEW HAVEN HOSPITAL INC,0,59430,324,No_Match,-72.9431577 Y: 41.3074280,09009140800,,
315 1288 02036,"00200 ORCHARD ST 408, New Haven, CT","223 ORCHARD ST, New Haven, CT, 06511",YALE-NEW HAVEN HOSPITAL INC,0,91770,325,No_Match,-72.9431577 Y: 41.3074281,09009140800,,
279 0163 00100,"00318 OAK ST, New Haven, CT","318 OAK ST, NEW HAVEN, CT, 06511",YALE NEW HAVEN HOSPITAL INC -MCS-2,43820,3570,330,No_Match,-72.940381 Y: 41.327048,09009141500,,
315 1293 01600,"01342 CHAPEL ST, New Haven, CT","1342 CHAPEL ST, NEW HAVEN, CT, 06511",YALE-NEW HAVEN HOSPITAL INC,57680,14350,350,Tie,-72.93982 Y: 41.31026,09009140800,,