Code,Description
101,Single Fam
102,Condo
103,Mobile Hom
104,Two Family
105,THREE FAM
106,AC LND IMP
107,MIX USE R
108,null
109,MULTI HSES
111,APT 4-UNIT
112,APT OVER 8
120,PR RES OPN
121,BOARDNG HS
122,FRAT/SOROR
123,DORMITORY
124,REC/CONVEN
130,PRI RES
131,RES ACLNPO
132,RES ACLNUD
134,PRI RS C/I
140,PR RES IND
201,SFR OPEN
202,WET RES PV
210,PRI OPN SP
211,NONPROD VC
300,HOTELS
301,MOTELS
302,INNS
303,null
304,NURSING HM
305,HOSP PVT
306,TRANS RES
310,PRI COMM
311,RTL GAS ST
312,GRAIN ELEV
313,LUMBER YRD
314,TRK TERM
315,DOCKYARDS
316,COMM WHSE
317,FARM BLDGS
318,COM GRN HS
321,HRDWARE ST
322,STORE/SHOP
323,SHOPNGMALL
324,SUPERMKT
325,GAS MART
326,REST/CLUBS
330,AUTO V S&S
331,AUTO S S&S
332,SVC SHP/ G
333,FUEL SV/PR
334,GAS ST SRV
335,CAR WASH
336,PARK GAR
337,PARK LOT
338,OTH MTR SS
340,OFFICE BLD
341,BANK BLDG
342,PROF BLDG
350,POST OFF
351,EDUC BLDG
352,DAY CARE
353,FRATNL ORG
354,TRANSPORT
355,FUNERAL HM
356,PROF ASSOC
360,MUSEUMS
361,ART GAL
362,MOVIE THTR
363,DRIVEINTHT
364,THEATER
365,STADIUMS
366,ARENAS
367,RACETRACK
368,AMUSE PARK
369,OTHER CULT
370,BOWLING
371,ICE SKATE
372,ROLLER SKT
373,SWIM POOL
374,HEALTH SPA
375,TENNIS CLB
376,GYMS
377,OTH IN REC
380,GOLF CRSE
381,TENNIS ODR
382,RIDING STB
383,BEACHES
384,MARINAS
385,FISH&GAME
386,CAMPGROUND
387,YTH CAMPS
388,OTHR OUTDR
389,STRUCT-61B
390,DEVEL LAND
391,POT DEVEL
392,UNDEV LAND
393,AH-NOT 61A
400,FACTORY
401,IND WHSES
402,IND OFFICE
403,ACCLND MFG
404,R-D FACIL
410,PR IND RES
411,GYPSUMMINE
412,ROCK MINE
413,OTH MINES
420,PUB TANKS
421,TANKS LNG
422,ELEC PLANT
423,ELEC ROW
424,ELECSUBSTA
425,GAS PLANT
426,GAS ROW
427,GAS STG
428,GAS SUBSTA
430,TEL X STA
431,TEL REL TW
432,CBL-TV TR
433,RAD/TV TR
440,IND LD DV
441,IND LD PO
442,IND LD UD
501,IND ASC TR
502,DOM/FOR CP
503,DOM/FOR ME
504,PUB UTIL
505,MCH PL/WR
506,PIPE LINES
601,C61 TEN YR
602,C61 5 YEAR
610,FOREST C61
710,CRANBERRY
711,TOBACCO SD
712,TR CRP VEG
713,FIELD CRPS
714,ORCHARDS
715,VINEYARDS
716,TILL FORAG
717,PROD WOOD
718,PASTURE
719,NURSERIES
720,NONPRNECLD
722,SWP/LEDGE
800,RECREATION
801,61B HIKE
802,61B CAMP
803,61B NATURE
804,61B BOAT
805,61B GOLF
806,61B HORSE
807,61B HUNT
808,61B FISH
809,61B AL-SKI
810,61B NR-SKI
811,61B SWIM
812,61B PICNIC
813,61B GLIDE
814,61B TARGET
900,US GOVT
901,STATE
902,COUNTY
903,MUNICPAL
904,PRI SCHOOL
905,P/HOS CHAR
906,CHURCH ETC
907,121A CORP
908,HSNG AUTH
909,RELIGIOUS
910,CHARITABLE
920,NON PROFIT
1010,Single Family
1012,SFR In-Law
1013,SFR Water
1014,SFR Golf
1015,SFR Riverfront
1020,Condominium
1022,Dockominiu
1023,Condo-Park
102V,Condo MDL-00
1030,Mobile Hom
1031,Trailer
1040,Two Family
104C,Two Family MDL-94
1050,Three Family
1060,Outbulding Only
106R,Outbulding MDL-01
1070,MIX USE R MDL-01
107C,MIX USE R MDL-94
107M,MIX USE R MDL-03
1080,ACC RES LD
1090,Multi Hses
1110,APT 4-Unit
1111,APT5 - 12 R MDL-03
1112,APT CO-OP
111C,APT5 - 12 MDL-94
1120,APT Over12 MDL-01
112C,APT Over12 MDL-94
112I,APT Over12 MDL-96
112M,APT Over12 MDL-03
1210,Bording Hs MDL-01
121C,Bording Hs MDL-94
121R,BRDNG HS R
1220,FRAT/SOROR
1230,DORMITORY
1240,REC/CONVEN
1250,OTHR LIV F
1300,VAC BLD
1310,VAC POT BL
1320,VAC UN BLD
1330,DEVEL RIGHTS
1400,CHILD CARE
2010,SFR OPEN
2020,WET RES PV
2100,NONPROD AH
2110,NONPROD VC
2200,VAC COM LD
2210,VAC WETLLD
2300,VAC IND LD
2310,VAC WETLLD
3000,HOTELS MDL-94
300I,HOTELS MDL-96
3010,MOTELS
3020,INNS
3030,MIXED USE MDL-94
303I,MIXED USE MDL-96
303M,MIXED USE MDL-03
303R,MIXED USE MDL-01
303S,MIXED USE MDL-95
3040,NURSING HM
3050,HOSP PVT
3060,TRANS RES
3090,ACC COM LD MDL-94
309V,ACC COM LD MDL-00
3100,RTL OIL ST
3110,RTL GAS ST
3120,GRAIN ELEV
3130,LUMBER YRD
3140,TRK TERM
3150,DOCKYARDS
3160,COMM WHSE MDL-94
3165,COMM IND
316I,COMM WHSE MDL-96
316R,COMM WHSE MDL-01
316S,COMM WHSE MDL-95
316V,COMM WHSE MDL-00
3170,FARM BLDGS
3180,COM GRN HS
3210,HRDWARE ST
3220,STORE/SHOP MDL-94
3221,RTL CONDO MDL-06
3222,COM BLD NL MDL-94
322C,RTL CONDO MDL-94
322I,STORE/SHOP MDL-96
322K,COM BLD NL MDL-95
322M,COM CND MU MDL-06
322R,STORE/SHOP MDL-01
322S,STORE/SHOP MDL-95
3230,PLAZAwAnch MDL-94
323V,PLAZAwAnch MDL-00
3240,SUPERMKT
3250,GAS MART MDL-94
325V,GAS MART MDL-00
3260,REST/CLUBS MDL-94
326V,REST/CLUBS MDL-00
3300,AUTO V S&S MDL-94
330I,AUTO V S&S MDL-96
330S,AUTO V S&S MDL-95
3310,AUTO S S&S MDL-95
331I,AUTO S S&S MDL-96
3320,SVC SHP/GA MDL-95
332V,SVC SHP/GA MDL-00
3330,FUEL SV/PR
3340,GAS ST SRV MDL-94
334I,GAS ST SRV MDL-96
334S,GAS ST SRV MDL-95
334V,GAS ST SRV MDL-00
3350,CAR WASH
3360,PARK GAR MDL-94
336I,PARK GAR MDL-96
3370,PARK LOT
3380,OTH MTR SS
3400,OFFICE BLD MDL-94
3401,OFF CONDO MDL-06
340C,OFF CONDO MDL-94
340I,OFFICE BLD MDL-96
340R,OFFICE BLD MDL-01
340S,OFFICE BLD MDL-95
3410,BANK BLDG
3420,PROF BLDG
3421,PROF CONDO MDL-06
342C,PROF CONDO MDL-94
3500,POST OFF
3510,EDUC BLDG
3520,DAY CARE
3530,FRATNL ORG MDL-94
353S,FRATNL ORG MDL-95
3540,TRANSPORT
3541,AIRPORT
3542,BUS STATN
3543,TRAIN STA
3544,TAXI STAND
3550,FUNERAL HM
3560,PROF ASSOC
3600,MUSEUMS
3610,ART GAL
3620,MOVIE THTR MDL-94
362I,MOVIE THTR MDL-96
3630,DRIVEINTHT
3640,THEATER MDL-94
364I,THEATER MDL-96
3650,STADIUMS
3660,ARENAS
3670,RACETRACK
3680,AMUSE PARK
3690,OTHER CULT
3700,BOWLING
3710,ICE SKATE
3720,ROLLER SKT
3730,SWIM POOL
3740,HEALTH SPA
3750,TENNIS CLB
3760,GYMS
3770,OTH IN REC
3800,GOLF CRSE
3810,TENNIS ODR
3820,RIDING STB
3830,BEACHES
3840,MARINAS MDL-94
3841,YACHT CLUB
384R,MARINAS MDL-01
384V,MARINAS MDL-00
3850,FISH&GAME
3860,CAMPGROUND
3870,YTH CAMPS
3880,OTHR OUTDR MDL-94
388I,OTHR OUTDR MDL-96
388V,BILLBOARD LOCATION MDL-00
3890,STRUCT-61B MDL-94
389V,STRUCT-61B MDL-00
3900,DEVEL LAND
3910,POT DEVEL
3920,UNDEV LAND
3930,AH-NOT 61A
3940,CMRL CONDO MDL-94
394V,CMRL CONDO MDL-00
4000,INDUSTRIAL MDL-96
400C,INDUSTRIAL MDL-94
400S,INDUSTRIAL MDL-95
4010,IND WHSES MDL-96
401C,IND WHSES MDL-94
401S,IND WHSES MDL-95
4020,IND OFFICE MDL-96
4021,IND CONDO MDL-06
4022,IND BLDG
402C,IND OFFICE MDL-94
402I,IND CONDO MDL-96
4030,ACC IND LD MDL-00
403C,ACC IND LD MDL-94
4040,R-D FACIL MDL-96
404C,R-D FACIL MDL-94
4050,IND SHP/GR MDL-96
405S,IND SHP/GR MDL-95
4100,SAND&GRAVL
4110,GYPSUMMINE
4120,ROCK MINE
4130,OTH MINES
4200,PUB WTR CO
4210,TANKS LNG MDL-96
421C,TANKS LNG MDL-94
421S,TANKS LNG MDL-95
421V,TANKS LNG MDL-00
4220,ELEC PLANT
4230,ELEC ROW
4240,ELECSUBSTA MDL-96
424V,ELECSUBSTA MDL-00
4250,GAS PLANT
4260,GAS ROW
4270,GAS STG
4280,GAS SUBSTA
4300,TEL X STA MDL-96
430S,TEL X STA MDL-95
4310,TEL REL TW
4320,CBL-TV TR
4330,RAD/TV TR
4400,IND LD DV
4410,IND LD PO
4420,IND LD UD
5010,IND ASC TR
5020,DOM/FOR CP
5030,DOM/FOR ME
5040,PUB UTIL
5050,MCH PL/WR
5060,PIPE LINES
6100,FOREST
7100,CRANBERRY
7110,TILLABLE A
7120,TILLABLE B
7130,TILLABLE D
7140,ORCHARDS
7150,VINEYARDS
7160,TILLABLE C
7170,FOREST/WDL
7180,UNM PASTUR
7190,OPEN SPACE
7200,NON PRODUC
7220,SWP/LEDGE
8000,FRONTAGE
8100,FRONTAGE
8200,FRONTAGE
9000,US GOVT MDL-94
900I,US GOVT MDL-96
900R,US GOVT MDL-01
900S,US GOVT MDL-95
900V,US GOVT MDL-00
9010,STATE MDL-94
9011,STATE ADM MDL-94
9012,STATE CHIL
9013,STATE CORR
9014,STATE EDUC MDL-94
9015,STATE HOSP
9016,STATE SFTY
9017,STATE REC MDL-96
9018,STATE DOT MDL-95
9019,STATE MISC MDL-96
901A,STATE ADM MDL-00
901C,STATE MISC MDL-94
901F,STATE MDL-02 4F
901I,STATE ADM MDL-96
901K,STATE EDUC MDL-95
901L,STATE EDUC MDL-96
901R,STATE MDL-01
901S,STATE ADM MDL-95
901V,STATE MDL-00
901Y,STATE DOT MDL-00
901Z,STATE REC MDL-00
9020,CITY MDL-94
9024,CITY POLIC
9025,CITY FIRE
9026,CITY SCHOO MDL-94
9027,CITY ADMN
9028,CITY LIBR
9029,EXEMPT COM MDL-96
902A,CITY SCHOO MDL-00
902B,EXEMPT COM MDL-01
902C,EXEMPT COM MDL-94
902D,CITY IND CNDO M06
902I,CITY MDL-96
902K,EXEMPT COM MDL-95
902L,CITY SCHOO MDL-96
902R,CITY MDL-01
902S,CITY MDL-95
902T,CITY MDL-02 2F
902U,CITY MDL-02 3F
902V,CITY MDL-00
902Z,EXEMPT COM MDL-00
9030,MUNICIPAL MDL-94
9031,MUN POLICE MDL-94
9032,MUN FIRE
9033,MUN SCHOOL MDL-94
9035,MUN LIBR
9037,MUN BEACH MDL-95
9039,Mun R Cndo MDL-05
903A,MUN SCHOOL MDL-00
903B,MUN BEACH MDL-01
903C,MUN BEACH MDL-94
903I,MUNICIPAL MDL-96
903K,MUN POLICE MDL-95
903L,MUN POLICE MDL-96
903R,MUNICIPAL MDL-01
903S,MUNICIPAL MDL-95
903T,MUNIC MDL-02 2F
903V,MUNICIPAL MDL-00
903Z,Mun R Cndo MDL-01
9040,PVT SCHOOL MDL-94
9041,PVT COLL MDL-94
9042,PVT AGR CO
9043,PVT HRT CO
9045,PVT UNIV MDL-96
9049,EX RET CND MDL-06
904A,PVT COLL MDL-00
904B,PVT UNIV MDL-01
904C,PVT UNIV MDL-94
904I,PVT SCHOOL MDL-96
904J,EX RET CND MDL-94
904L,PVT COLL MDL-96
904R,PVT SCHOOL MDL-01
904S,PVT UNIV MDL-95
904U,PVT UNIV MDL-02 3F
904V,PVT SCHOOL MDL-00
904Z,PVT UNIV MDL-00
9050,P/HOUSE
9051,PVT HOSP MDL-94
9052,CHAR SANIT
9053,RELIG COMM MDL-94
9059,EX MED CND MDL-06
905A,RELIG COMM MDL-00
905C,EX MED CND MDL-94
905I,PVT HOSP MDL-96
905R,RELIG COMM MDL-01
905V,PVT HOSP MDL-00
9060,CHURCH MDL-94
9062,CEMETERY MDL-94
9065,CHURCH HSE MDL-94
9066,CLRGY HSE MDL-01
906A,CEMETERY MDL-00
906B,CHURCH HSE MDL-01
906C,CLRGY HSE MDL-94
906I,CHURCH MDL-96
906L,CEMETERY MDL-96
906M,CHURCH HSE MDL-01
906R,CHURCH MDL-01
906T,CHRCH MDL-02 2F
906U,CHRCH MDL-02 3F
906V,CHURCH MDL-00
906Z,CHURCH HSE MDL-00
9070,EXEMPT MDL-94
9079,Ex R Condo MDL-05
907B,Ex R Condo MDL-01
907F,EXEMPT MDL-02 4F
907I,EXEMPT MDL-96
907R,EXEMPT MDL-01
907T,EXEMPT MDL-02 2F
907U,EXEMPT MDL-02 3F
907V,EXEMPT MDL-00
9080,HSNG AUTH MDL-94
908I,HSNG AUTH MDL-96
908R,HSNG AUTH MDL-01
908T,HSG AUTH MDL-02 2F
908U,HSG AUTH MDL-02 3F
908V,HSNG AUTH MDL-00
9090,RELIGIOUS MDL-94
9091,PARISH HSE MDL-94
9092,CHURCH SCH
9093,NON P CAMP
9094,REC FACIL MDL-94
9095,ORPHN ASYL
9096,THRFT SHOP
9097,REFORMATRY
9098,INFIRMARY
9099,EC VACANT
909A,PARISH HSE MDL-00
909B,REC FACIL MDL-01
909I,RELIGIOUS MDL-96
909K,REC FACIL MDL-95
909L,REC FACIL MDL-96
909R,RELIGIOUS MDL-01
909S,RELIGIOUS MDL-95
909T,RELIGIOUS MDL-02 2F
909U,RELIGIOUS MDL-02 3F
909V,RELIGIOUS MDL-00
909Z,REC FACIL MDL-00
9100,CHARITABLE MDL-94
9101,VET ORG
9105,AM RD CRSS
9109,EX OFF CND MDL-06
910C,EX OFF CND MDL-94
910F,CHARITABLE MDL-02 4F
910R,CHARITABLE MDL-01
910T,CHARITABLE MDL-02 2F
910U,CHARITABLE MDL-02 3F
910V,CHARITABLE MDL-00
9200,NON-PROFIT MDL-94
920F,NON-PROFIT MDL-02 4F
920I,NON-PROFIT MDL-96
920M,NON-PROFIT MDL-03
920R,NON-PROFIT MDL-01
920T,NON-PROFIT MDL-02 2F
920U,NON-PROFIT MDL-02 3F
920V,NON-PROFIT MDL-00
9210,NON P RECR
9215,PUB SRV RR MDL-94
9217,ER LAND
921I,PUB SRV RR MDL-96
9220,DEV RIGHTS
995,CONDO MAIN